image_id,file_name,ref1,ref2,ref3,ref4,ref5,baseline1_blip,baseline2_florence_raw,proposed_simple,proposed_detailed
486438,000000486438.jpg,A plate of donuts with a person in the background.,A person sitting on the floor near a plate of donuts.,Eight doughnuts sitting on a white serving tray.,The chocolate and glazed donuts are stacked on a plate.,A close up of glazed donuts that are plain or with chocolate.,there is a tray of donuts with chocolate frosting on it,A tray of glazed donuts sitting on the floor.,"Glazed donuts on tray, likely for serving or display.",Glazed donuts on a tray sit on a floor.
400573,000000400573.jpg,A man biting into a doughnut with a sly look.,A man wearing glasses eating a donut. ,there is a man wearing glasses and eating a donut,A man wearing glasses eating a glazed donut out of doors.,A man taking a bite of a doughnut while wearing glasses.,there is a man with glasses eating a doughnut in a park,A man wearing glasses eating a sausage sandwich.,Man eating sausage sandwich while wearing glasses.,Man wearing glasses eats sausage sandwich outdoors for lunch.
109798,000000109798.jpg,three different donuts one is pink one is brown and one has white sprinkles,A table topped with a white plate covered in three donuts.,A variety of doughnuts sitting on a paper plate.,Frosted and sprinkled donuts stacked on a paper plate.,Donuts with frosting and glazed toppings sit on table next to coffee maker,there are three donuts that are on a plate on the table,A plate of donuts sitting on top of a wooden table.,"Donuts on wooden table, assorted flavors and decorations.",Donuts sit on a wooden table in a dining setting for dessert consumption.
370677,000000370677.jpg,Three workers stand next to each other with their baked goods behind them.,three people standing in front of trays of doughnuts and bagels,Three people in work uniforms and visors standing together in front of various types of donuts.,Three female workers stand in front of rows of pastries. ,Some girls in colorful shirts standing by some pastries.,there are three women standing in front of a display of donuts,Three women standing next to each other in a bakery.,Bakery staff members standing together near display cases.,Women bakers stand together in a commercial bakery setting.
238866,000000238866.jpg,tHERE ARE MANY DONUTS LAYED TO DRY ON A GRILL,A black-and white picture of a rack full of doughnuts.,A rack topped with glazed donuts sitting side by side.,a close up of a grill of doughnuts,A couple dozen of glazed donuts on a wire rack.,black and white photograph of a bunch of glazed donuts on a rack,A tray of doughnuts sitting on top of a grill.,"Doughnuts on grill, freshly cooked and ready to serve.","Doughnuts sit on a grill, being warmed for serving."
369370,000000369370.jpg,A sandwich on a plate served with garnish.,A delicious sandwich layered with meat and dressed with avocado lies on a cutting board.,A ham sandwich on a white plate with a kale garnish.,A white bread sandwich on plate filled with ham and lettuce,A table with plates of sandwiches and fruit.,there are two halves of a sandwich on a plate on the table,A plate with a sandwich cut in half on it.,Sandwich cut in half on a plate.,"Sandwich, cut in half, on a plate, for serving."
502737,000000502737.jpg,A person holding up a chocolate doughnut with a face drawn on it.,A man holding up what appears to be a chocolate desert.,A person holding up a tasty looking treat.,A person holding a cookie with icing that has one of it's arms bitten off.,A person holds an oddly shaped cookie in front of the camera.,there is a man holding a chocolate donut with white icing on it,A man holding a glass of beer and a chocolate covered cookie.,"Man holding beer and chocolate cookie, possibly for tasting or pairing.",Man holds glass of beer and eats chocolate covered cookie indoors.
515579,000000515579.jpg,A man holding a ball while standing next to a gate.,A man walking while holding a ball in his hand. ,A man throwing a ball while smiling and on a field. ,A man throwing a ball in a black and white photo.,Man holding a ball he is about to throw.,this is a black and white photo of a man throwing a frisbee,A man in a white shirt and black shorts playing ping pong.,Man playing ping pong in athletic attire.,Man in white shirt and black shorts plays ping pong indoors for recreation.
515445,000000515445.jpg,A group of people walking on top of a beach.,The people have surfboards and are on the beach.,Surboarders are in the water and waiting on the shore.,Surfers stand with surfboards on a beach for the early morning sunrise.,Beach full of surfers inside and outside of the water.,there are people standing on the beach with surfboards at sunset,A group of people standing on top of a beach next to the ocean.,People gathered on beach overlooking ocean.,People stand together on beach beside ocean.
173383,000000173383.jpg,A two layer cake sitting on top of a table.,a two layered cake sits on a table top ,The cake is prepared and ready to be eaten.,A white boxy birthday cake with red flowers and blue accents on a decorated table with gray cover and candles.,A two layer cake sitting on a table near candles.,there is a white cake with blue ribbon and flowers on the table,A wedding cake on a table with candles and flowers.,Wedding cake with candles and decorative flowers on a table.,Wedding cake sits on table surrounded by lit candles and assorted flowers.
438862,000000438862.jpg,a group of adults playing soccer on a field,The two teams are kicking a soccer ball.,A man kicking a soccer ball during a soccer game.,Several men are playing soccer on a field.,Soccer players in orange and grey uniforms on a field. ,soccer players in orange and white uniforms playing a game of soccer,A group of men playing a game of soccer.,Men playing soccer in a team sport activity.,Men play soccer on an outdoor field with teammates and opponents.
180560,000000180560.jpg,Two women in a room with one of them holding a cake.,A lady holding a cake with candles on it while a lady near her is making gestures with her fingers.,One woman carrying a cake with candles and another woman in the background.,"2 women, one holding a cake, the other holding up her index finger",a person holding a small cake with candles,there are two women standing in front of a cake with lit candles,A woman blowing out candles on a birthday cake.,Woman blowing out candles on a birthday cake.,Woman blowing out candles on a birthday cake in a celebratory setting for commemoration.
347693,000000347693.jpg,A couple of windows sitting inside of a room.,a room with some big window on the side of it ,The older hospital room looks like it could be remodeled.,An old doctors office with two windows with curatins.,An assortment of rags hang on a metal rack.,this is an image of a hospital room with a ladder in the corner,A room with bunk beds and a window.,Bunk beds and window in dormitory space.,Dormitory room contains bunk beds near a window.
39956,000000039956.jpg,A messy room with door and bed and chair.,A bedroom in an old house that is being renovated ,View of a very messy bedroom with boxes and bags covering the floor.,a messy bed room a bed a chair and boxes,A messy bedroom has one red brick wall.,this is an image of a messy room with a bed and a chair,"A messy bedroom with a bed, desk, chair, and other items.","Bedroom with bed, desk, chair, and various personal items scattered around.","Cluttered bedroom contains bed, desk, chair, and various items, depicting a disorganized living space."
321214,000000321214.jpg,A baby in plaid shirt eating a frosted cake.,The young is enjoying his cake so much its all over him. ,A toddler eats cake with his hands in his high chair.,A toddler is getting messy while eating his cake. ,Baby boy at the table eating cake frosting off his hand.,there is a little boy that is eating a piece of cake,A small child sitting at a table eating a piece of cake.,Child eating cake at a table.,Child sits at table eating cake in a celebratory setting for a special occasion.
474028,000000474028.jpg,a group of kids playing soccer in a field,A group of kids playing soccer wearing blue and orange uniforms. ,The goalkeeper in orange grabs the ball among a group of children playing soccer.,A little boy grips a soccer ball in his arms surrounded by other youth soccer players.,"A youth holds a soccer ball while another youth is behind him, looking at the first youth.",they are playing a game of soccer on the field in the park,A group of young boys playing soccer on a field.,Youth soccer players engaging in game activity on outdoor field.,Young boys playing soccer on an outdoor field during a game.
66523,000000066523.jpg,A bed topped with three white pillows covered in a canopy.,A bed with white and beige linens and a clear drape.,A made bed with mosquito netting above it.,A bed with white and gray bedding and netting overhead.,"A full size bed with mosquito netting above, all in neutral colors.",this is a picture of a bed with a white canopy over it,A bed with a white canopy over it.,Bed with white canopy providing shade and privacy.,"Bed with white canopy, in a bedroom setting, providing shade and comfort."
355257,000000355257.jpg,A woman laying in a hospital bed hooded up to machines.,A young girl lying in a hospital room hooked up to machines,A woman laying in a hospital bed hooked up to an IV and monitors.,A girl in a hospital bed with an IV and monitors. ,A woman is laying in a hospital bed and is hooked up to several machines.,there is a man laying in a hospital bed next to a monitor,A woman laying in a hospital bed next to an electronic device.,Patient in hospital bed with monitoring equipment.,Woman patient resting in hospital bed beside medical monitoring equipment.
142092,000000142092.jpg,A pizza with vegetables and cheese resting on a board.,There is a pizza with many toppings on it ,A pizza with lots of cheese on a flat brown surface.,An overhead view of a pizza on a pizza stone.,A large pizza on a stone pizza cooking tray.,there is a pizza sitting on top of a pan on a stove,A pizza sitting on top of a wooden cutting board.,Pizza on wooden cutting board ready for serving.,Pizza sits on wooden cutting board in kitchen setting for food preparation.
63154,000000063154.jpg,A surfer is riding a wave in light blue water.,A surfer paddling on a board to go catch a wave.,A surfer paddles over a wave in clear blue water.,A man laying flat on a surfboard paddling through the water,a person lying on a surfboard in the ocean.,there is a man riding a surfboard on a wave in the ocean,A man riding a wave on top of a surfboard in the ocean.,Surfer riding wave on surfboard in ocean.,"Surfer rides wave on surfboard in ocean, recreational activity, during daytime."
199551,000000199551.jpg,A picture of a young boy laying on top of a bed.,Boy sleeping with no blanket in a large bed. ,A young boy sleeping on the side of his bed.,A young boy sleeping on floral printed sheets,A boy asleep on a large bed under a mosquito net,there is a baby that is laying on a bed in a room,A small child sleeping on a bed under a mosquito net.,Child sleeping under mosquito net for insect protection.,Child sleeping on bed under mosquito net in bedroom for rest.
239347,000000239347.jpg,A picture of a recently married couple displayed behind glass.,A photo of a man and his wife on a bed,A picture of a couple that just got married lying in a bed.,The picture of the couple in bed is displayed in the large window.,a man and a woman are laying in a bed,there is a picture of a man and a woman on a bed,A picture of a bride and groom on a bed.,"Bride and groom sitting on bed, posing for wedding portrait.",Bride and groom sitting together on a bed in a romantic setting for a wedding portrait.
514508,000000514508.jpg,A man in bowler hat and lab coat by people in a tv frame.,There are many people sitting inside a screen for love tv,A man in  a jacket standing near a  giant tv, A man is holdng a mic while looking onto a screen.  ,A man looking at a picture of a TV screen.,there is a man that is standing in front of a tv,A man standing in front of a pink food truck.,Man serving food from a pink vehicle for mobile dining purposes.,"Man standing in front of a pink food truck on a street, serving customers, in a urban setting."
473237,000000473237.jpg,A young girl eating a slice of pizza.,A young girl with a green jacket eating a piece of pepperoni pizza.,A girl takes a bite of her pepperoni pizza. ,A little girl eating a slice of pizza in a room.,Small girl in green shirt holding a slice of pizza to her face. ,there is a young girl eating a slice of pizza in a cafeteria,A young girl eating a slice of pizza.,Girl eating a slice of pizza with her hands.,Girl consuming pizza slice in a casual setting for nutrition.
228144,000000228144.jpg,"A chair sitting in the middle of the room, in a black and white photo.",A room with chairs and a large mirror.,No one is in the room but there are chairs.,The bedroom is clean and ready for the guests to use.,Three chairs sitting in a room near a mirror.,this is a black and white photo of a chair in a living room,A black and white photo of a living room with a chair and a mirror.,Living room with chair and mirror for seating and reflection.,"Living room contains chair and mirror, decorated with furniture, for relaxation and socializing."
206027,000000206027.jpg,A slice of pizza that is on top of a napkin.,a slice of pizza sitting on top of a table.,Someone ordered a piece of pizza for dinner that does not have much cheese on it,A piece of pizza with thousand island dressing and a Coke Zero on the side.,A slice of pizza with a swirl of sauce on top.,there is a slice of pizza sitting on a napkin on a table,A slice of pizza sitting on top of a table next to a bottle of soda.,Pizza slice on table beside soda bottle.,Pizza slice on table beside soda bottle in dining setting.
78915,000000078915.jpg,A tennis player hits a high ball in front of an audience. ,A lady is taking a shot at doing her best Tennis serve. ,A picture of a person playing in a tennis game.,A women is reaching to hit a tennis ball.,A woman tennis player hitting a tennis ball.,there is a woman hitting a tennis ball with a racquet,A woman hitting a tennis ball with a racquet on a tennis court.,Woman hitting tennis ball with racquet on tennis court.,Woman hits tennis ball with racquet on outdoor tennis court during match.
